season,week,rule_name,alpha_week,protect_top_quartile,actual_elim,pred_newrule_elim,newrule_matches_actual,pred_elim_in_judge_top_quartile
1,1,A(0.70→0.30)+Prot,0.6636363636363636,1,,Kelly Monaco,,0
1,2,A(0.70→0.30)+Prot,0.6272727272727272,1,Trista Sutter,Evander Holyfield,0,0
1,3,A(0.70→0.30)+Prot,0.5909090909090908,1,Evander Holyfield,Evander Holyfield,1,0
1,4,A(0.70→0.30)+Prot,0.5545454545454546,1,Rachel Hunter,Joey McIntyre,0,0
1,5,A(0.70→0.30)+Prot,0.5181818181818181,1,Joey McIntyre,Joey McIntyre,1,0
1,6,A(0.70→0.30)+Prot,0.4818181818181818,1,,John O'Hurley,,0
1,1,A(0.65→0.35)+Prot,0.6227272727272728,1,,Kelly Monaco,,0
1,2,A(0.65→0.35)+Prot,0.5954545454545453,1,Trista Sutter,Evander Holyfield,0,0
1,3,A(0.65→0.35)+Prot,0.5681818181818182,1,Evander Holyfield,Evander Holyfield,1,0
1,4,A(0.65→0.35)+Prot,0.5409090909090909,1,Rachel Hunter,Joey McIntyre,0,0
1,5,A(0.65→0.35)+Prot,0.5136363636363637,1,Joey McIntyre,Joey McIntyre,1,0
1,6,A(0.65→0.35)+Prot,0.48636363636363633,1,,John O'Hurley,,0
1,1,A(0.60→0.40)+Prot,0.5818181818181818,1,,Kelly Monaco,,0
1,2,A(0.60→0.40)+Prot,0.5636363636363636,1,Trista Sutter,Evander Holyfield,0,0
1,3,A(0.60→0.40)+Prot,0.5454545454545454,1,Evander Holyfield,Evander Holyfield,1,0
1,4,A(0.60→0.40)+Prot,0.5272727272727272,1,Rachel Hunter,Joey McIntyre,0,0
1,5,A(0.60→0.40)+Prot,0.509090909090909,1,Joey McIntyre,Joey McIntyre,1,0
1,6,A(0.60→0.40)+Prot,0.49090909090909096,1,,John O'Hurley,,0
1,1,A(0.65→0.35)+NoProt,0.6227272727272728,0,,Kelly Monaco,,0
1,2,A(0.65→0.35)+NoProt,0.5954545454545453,0,Trista Sutter,Evander Holyfield,0,0
1,3,A(0.65→0.35)+NoProt,0.5681818181818182,0,Evander Holyfield,Evander Holyfield,1,0
1,4,A(0.65→0.35)+NoProt,0.5409090909090909,0,Rachel Hunter,Joey McIntyre,0,0
1,5,A(0.65→0.35)+NoProt,0.5136363636363637,0,Joey McIntyre,Joey McIntyre,1,0
1,6,A(0.65→0.35)+NoProt,0.48636363636363633,0,,John O'Hurley,,0
1,1,F(0.55)+Prot,0.55,1,,Kelly Monaco,,0
1,2,F(0.55)+Prot,0.55,1,Trista Sutter,Evander Holyfield,0,0
1,3,F(0.55)+Prot,0.55,1,Evander Holyfield,Evander Holyfield,1,0
1,4,F(0.55)+Prot,0.55,1,Rachel Hunter,Joey McIntyre,0,0
1,5,F(0.55)+Prot,0.55,1,Joey McIntyre,Joey McIntyre,1,0
1,6,F(0.55)+Prot,0.55,1,,John O'Hurley,,0
1,1,F(0.50)+Prot,0.5,1,,Kelly Monaco,,0
1,2,F(0.50)+Prot,0.5,1,Trista Sutter,Evander Holyfield,0,0
1,3,F(0.50)+Prot,0.5,1,Evander Holyfield,Evander Holyfield,1,0
1,4,F(0.50)+Prot,0.5,1,Rachel Hunter,Joey McIntyre,0,0
1,5,F(0.50)+Prot,0.5,1,Joey McIntyre,Joey McIntyre,1,0
1,6,F(0.50)+Prot,0.5,1,,John O'Hurley,,0
1,1,F(0.60)+Prot,0.6,1,,Kelly Monaco,,0
1,2,F(0.60)+Prot,0.6,1,Trista Sutter,Evander Holyfield,0,0
1,3,F(0.60)+Prot,0.6,1,Evander Holyfield,Evander Holyfield,1,0
1,4,F(0.60)+Prot,0.6,1,Rachel Hunter,Joey McIntyre,0,0
1,5,F(0.60)+Prot,0.6,1,Joey McIntyre,Joey McIntyre,1,0
1,6,F(0.60)+Prot,0.6,1,,John O'Hurley,,0
1,1,F(0.55)+NoProt,0.55,0,,Kelly Monaco,,0
1,2,F(0.55)+NoProt,0.55,0,Trista Sutter,Evander Holyfield,0,0
1,3,F(0.55)+NoProt,0.55,0,Evander Holyfield,Evander Holyfield,1,0
1,4,F(0.55)+NoProt,0.55,0,Rachel Hunter,Joey McIntyre,0,0
1,5,F(0.55)+NoProt,0.55,0,Joey McIntyre,Joey McIntyre,1,0
1,6,F(0.55)+NoProt,0.55,0,,John O'Hurley,,0
