season,week,actual_elim,elim_rank_method,elim_percent_method,rank_matches_actual,percent_matches_actual,rank_equals_percent
4,1,,Leeza Gibbons,Leeza Gibbons,,,1
4,2,Paulina Porizkova,Paulina Porizkova,Clyde Drexler,1,0,0
4,3,Shandi Finnessey,John Ratzenberger,Clyde Drexler,0,0,0
4,4,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,1,1,1
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,1,1,1
4,6,Heather Mills,John Ratzenberger,John Ratzenberger,0,0,1
4,7,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus,1,0,0
4,8,Billy Ray Cyrus,Ian Ziering,Billy Ray Cyrus,0,1,0
4,9,Ian Ziering,Ian Ziering,Ian Ziering,1,1,1
4,10,,Laila Ali,Laila Ali,,,1
